covariance,truth_case,basis,actual_regions,effective_regions,wall_seconds,timing_scope,accepted_moves,initial_temperature,training_dfs,all_rows_dfs,native_dfs,pooled_compression,mhd_compression,tac_compression,holdout_compression,known_baseline_holdout_emissions_rmse,known_baseline_holdout_total_rmse,joint_holdout_emissions_rmse,joint_holdout_boundary_rmse,joint_holdout_total_rmse,joint_training_total_rmse
observation_only,null,dyadic_greedy,31,31,0.0012879171408712864,partition selection only; shared Gaussian model excluded,,,0.5031224581444022,0.6175863087846521,6.83215892748501,0.09526935048659879,0.1014618502021617,0.09296387367199643,0.07332570421997597,0.12976680780800484,0.12976680780802174,0.10760481191863792,0.0,0.1076048119186358,5.82468249093263
observation_only,model_draw,dyadic_greedy,31,31,0.0012879171408712864,partition selection only; shared Gaussian model excluded,,,0.5031224581444022,0.6175863087846521,6.83215892748501,0.09526935048659879,0.1014618502021617,0.09296387367199643,0.07332570421997597,1.3399320148090819,1.3399320148090978,1.1715249493387883,41.07293535322934,42.03082742592705,5.712230502753932
observation_only,smooth,dyadic_greedy,31,31,0.0012879171408712864,partition selection only; shared Gaussian model excluded,,,0.5031224581444022,0.6175863087846521,6.83215892748501,0.09526935048659879,0.1014618502021617,0.09296387367199643,0.07332570421997597,6.118252291002147,6.118252291002174,6.74924878131112,42.04453494592827,48.487170635737805,8.260720196111448
observation_only,null,dyadic_exact_dp,31,31,0.06869808305054903,partition selection only; shared Gaussian model excluded,,,0.5059166348062938,0.6204780606199913,6.83215892748501,0.09538226236607439,0.1014255667220505,0.09313233120478981,0.07327053624241042,0.12982660566959897,0.12982660566961157,0.1075432332387287,0.0,0.10754323323867498,5.82461051502367
observation_only,model_draw,dyadic_exact_dp,31,31,0.06869808305054903,partition selection only; shared Gaussian model excluded,,,0.5059166348062938,0.6204780606199913,6.83215892748501,0.09538226236607439,0.1014255667220505,0.09313233120478981,0.07327053624241042,1.3389547645953628,1.3389547645953899,1.1711767157210375,41.07293535322934,42.03035704887192,5.711536919722423
observation_only,smooth,dyadic_exact_dp,31,31,0.06869808305054903,partition selection only; shared Gaussian model excluded,,,0.5059166348062938,0.6204780606199913,6.83215892748501,0.09538226236607439,0.1014255667220505,0.09313233120478981,0.07327053624241042,6.120242131479113,6.120242131479087,6.749624203011171,42.04453494592827,48.4875184073138,8.26148551368289
observation_only,null,existing_quadtree,31,31,0.10397295793518424,quadtree threshold optimization only; coarse proxy construction excluded,,,0.34139434976319055,0.4278024873093049,6.83215892748501,0.06579291716860736,0.06511293048391587,0.0660460772183129,0.06135870600870208,0.18053292872414167,0.180532928724128,0.07221169651737529,0.0,0.07221169651737849,5.8686308064927895
observation_only,model_draw,existing_quadtree,31,31,0.10397295793518424,quadtree threshold optimization only; coarse proxy construction excluded,,,0.34139434976319055,0.4278024873093049,6.83215892748501,0.06579291716860736,0.06511293048391587,0.0660460772183129,0.06135870600870208,1.35692303327139,1.3569230332713742,1.2157818562092138,41.07293535322934,42.052633583232826,5.806574460496668
observation_only,smooth,existing_quadtree,31,31,0.10397295793518424,quadtree threshold optimization only; coarse proxy construction excluded,,,0.34139434976319055,0.4278024873093049,6.83215892748501,0.06579291716860736,0.06511293048391587,0.0660460772183129,0.06135870600870208,6.288991626769106,6.288991626769107,6.813029404961642,42.04453494592827,48.548926175689,8.488565925731258
observation_only,null,dyadic_sls_p50,31,31,1.6274259998463094,"Gaussian model rebuild, greedy initializer, pilot, and SLS",745,0.006921575335916726,0.5059166348062938,0.6204780606199913,6.83215892748501,0.09538226236607439,0.1014255667220505,0.09313233120478981,0.07327053624241042,0.12982660566959897,0.12982660566961157,0.1075432332387287,0.0,0.10754323323867498,5.82461051502367
observation_only,model_draw,dyadic_sls_p50,31,31,1.6274259998463094,"Gaussian model rebuild, greedy initializer, pilot, and SLS",745,0.006921575335916726,0.5059166348062938,0.6204780606199913,6.83215892748501,0.09538226236607439,0.1014255667220505,0.09313233120478981,0.07327053624241042,1.3389547645953628,1.3389547645953899,1.1711767157210375,41.07293535322934,42.03035704887192,5.711536919722423
observation_only,smooth,dyadic_sls_p50,31,31,1.6274259998463094,"Gaussian model rebuild, greedy initializer, pilot, and SLS",745,0.006921575335916726,0.5059166348062938,0.6204780606199913,6.83215892748501,0.09538226236607439,0.1014255667220505,0.09313233120478981,0.07327053624241042,6.120242131479113,6.120242131479087,6.749624203011171,42.04453494592827,48.4875184073138,8.26148551368289
observation_only,null,dyadic_sls_p10,31,31,1.6738872919231653,"Gaussian model rebuild, greedy initializer, pilot, and SLS",619,0.002083601793358931,0.5031224581444022,0.6175863087846521,6.83215892748501,0.09526935048659879,0.1014618502021617,0.09296387367199643,0.07332570421997597,0.12976680780800484,0.12976680780802174,0.10760481191863792,0.0,0.1076048119186358,5.82468249093263
observation_only,model_draw,dyadic_sls_p10,31,31,1.6738872919231653,"Gaussian model rebuild, greedy initializer, pilot, and SLS",619,0.002083601793358931,0.5031224581444022,0.6175863087846521,6.83215892748501,0.09526935048659879,0.1014618502021617,0.09296387367199643,0.07332570421997597,1.3399320148090819,1.3399320148090978,1.1715249493387883,41.07293535322934,42.03082742592705,5.712230502753932
observation_only,smooth,dyadic_sls_p10,31,31,1.6738872919231653,"Gaussian model rebuild, greedy initializer, pilot, and SLS",619,0.002083601793358931,0.5031224581444022,0.6175863087846521,6.83215892748501,0.09526935048659879,0.1014618502021617,0.09296387367199643,0.07332570421997597,6.118252291002147,6.118252291002174,6.74924878131112,42.04453494592827,48.487170635737805,8.260720196111448
observation_only,null,native_no_reduction,110758,110758,0.0,reference calculation included in shared Gaussian model,,,,6.83215892748501,6.83215892748501,1.0,1.0,1.0,1.0,2.0136476040513926,2.0136476040513873,0.7607020722356165,0.0,0.7607020722356189,5.053431292942121
observation_only,model_draw,native_no_reduction,110758,110758,0.0,reference calculation included in shared Gaussian model,,,,6.83215892748501,6.83215892748501,1.0,1.0,1.0,1.0,1.678780600399987,1.6787806003999983,0.8140933570590181,41.07293535322934,40.28443855867261,4.27355442954146
observation_only,smooth,native_no_reduction,110758,110758,0.0,reference calculation included in shared Gaussian model,,,,6.83215892748501,6.83215892748501,1.0,1.0,1.0,1.0,4.023970168030523,4.02397016803052,5.639549120933002,42.04453494592827,47.35797872308308,3.943609114515916
observation_plus_5ppb,null,dyadic_greedy,31,31,0.0012579583562910557,partition selection only; shared Gaussian model excluded,,,0.25222320782408947,0.2770800183545033,2.3476048258179616,0.13069406463071243,0.1006760756695374,0.1768373583274715,0.08846745233990772,0.0426486350745412,0.042648635074550446,0.053412574618164746,0.0,0.05341257461816272,3.1120446767938277
observation_plus_5ppb,model_draw,dyadic_greedy,31,31,0.0012579583562910557,partition selection only; shared Gaussian model excluded,,,0.25222320782408947,0.2770800183545033,2.3476048258179616,0.13069406463071243,0.1006760756695374,0.1768373583274715,0.08846745233990772,1.2684363475685467,1.2684363475685212,1.26019938312405,41.07293535322934,42.13312570194306,1.7946082048002079
observation_plus_5ppb,smooth,dyadic_greedy,31,31,0.0012579583562910557,partition selection only; shared Gaussian model excluded,,,0.25222320782408947,0.2770800183545033,2.3476048258179616,0.13069406463071243,0.1006760756695374,0.1768373583274715,0.08846745233990772,6.581135511838323,6.581135511838314,7.062057655693212,42.04453494592827,48.77722266798835,4.738821174822058
observation_plus_5ppb,null,dyadic_exact_dp,31,31,0.0276786251924932,partition selection only; shared Gaussian model excluded,,,0.2522264456257212,0.277131465338318,2.3476048258179616,0.13072597540391273,0.10090036478467956,0.17657354741376607,0.0887265514054969,0.042648212491573516,0.04264821249159328,0.05349504161395854,0.0,0.05349504161393764,3.1120426101574883
